Match Number,Round Number,Date Time - BST,Local Time,Location,Home Team,Away Team,Group,Home Goals,Away Goals,Home Points,Away Points,,,Local Time,
42,2,22/06/2026 22:00,22/06/2026 16:00,Philadelphia Stadium,France,Iraq,Group I,,,,,,,22/06/2026 16:00,(UTC-4)
41,2,23/06/2026 01:00,22/06/2026 20:00,New York/New Jersey Stadium,Norway,Senegal,Group I,,,,,,,22/06/2026 20:00,(UTC-4)
44,2,23/06/2026 04:00,22/06/2026 20:00,San Francisco Bay Area Stadium,Jordan,Algeria,Group J,,,,,,,22/06/2026 20:00,(UTC-7)
47,2,23/06/2026 18:00,23/06/2026 12:00,Houston Stadium,Portugal,Uzbekistan,Group K,,,,,,,23/06/2026 12:00,(UTC-5)
45,2,23/06/2026 21:00,23/06/2026 16:00,Boston Stadium,England,Ghana,Group L,,,,,,,23/06/2026 16:00,(UTC-4)
46,2,24/06/2026 00:00,23/06/2026 19:00,Toronto Stadium,Panama,Croatia,Group L,,,,,,,23/06/2026 19:00,(UTC-4)
48,2,24/06/2026 03:00,23/06/2026 20:00,Guadalajara Stadium,Colombia,DR Congo,Group K,,,,,,,23/06/2026 20:00,(UTC-6)
51,3,24/06/2026 20:00,24/06/2026 12:00,BC Place Vancouver,Switzerland,Canada,Group B,,,,,,,24/06/2026 12:00,(UTC-7)
52,3,24/06/2026 20:00,24/06/2026 12:00,Seattle Stadium,Bosnia and Herzegovina,Qatar,Group B,,,,,,,24/06/2026 12:00,(UTC-7)
49,3,24/06/2026 23:00,24/06/2026 18:00,Miami Stadium,Scotland,Brazil,Group C,,,,,,,24/06/2026 18:00,(UTC-4)
50,3,24/06/2026 23:00,24/06/2026 18:00,Atlanta Stadium,Morocco,Haiti,Group C,,,,,,,24/06/2026 18:00,(UTC-4)
53,3,25/06/2026 02:00,24/06/2026 19:00,Mexico City Stadium,Czech Republic,Mexico,Group A,,,,,,,24/06/2026 19:00,(UTC-6)
54,3,25/06/2026 02:00,24/06/2026 19:00,Monterrey Stadium,South Africa,South Korea,Group A,,,,,,,24/06/2026 19:00,(UTC-6)
55,3,25/06/2026 21:00,25/06/2026 16:00,Philadelphia Stadium,Curaçao,Ivory Coast,Group E,,,,,,,25/06/2026 16:00,(UTC-4)
56,3,25/06/2026 21:00,25/06/2026 16:00,New York/New Jersey Stadium,Ecuador,Germany,Group E,,,,,,,25/06/2026 16:00,(UTC-4)
57,3,26/06/2026 00:00,25/06/2026 18:00,Dallas Stadium,Japan,Sweden,Group F,,,,,,,25/06/2026 18:00,(UTC-5)
58,3,26/06/2026 00:00,25/06/2026 18:00,Kansas City Stadium,Tunisia,Netherlands,Group F,,,,,,,25/06/2026 18:00,(UTC-5)
